symbol,status,rows,first_date,last_date,transport,retrieved_at,universe_snapshot_date
508012,available,406,2024-12-31 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508015,available,514,2024-07-23 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508016,available,265,2025-08-01 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508017,available,603,2024-03-12 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508018,available,1056,2022-04-28 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508019,available,772,2023-06-30 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508020,available,92,2026-04-22 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508021,available,945,2022-10-13 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508022,available,474,2024-09-19 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508026,available,591,2024-03-28 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508027,available,1264,2021-06-21 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508028,available,833,2023-03-29 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508029,available,202,2025-11-06 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508030,available,27,2026-07-28 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508031,available,639,2024-01-12 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508033,available,590,2024-03-29 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508036,available,409,2024-12-26 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508039,available,270,2025-07-25 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508047,no_history,0,,,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508048,available,410,2024-12-25 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508050,available,142,2026-02-02 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508055,available,349,2025-03-31 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508056,available,1263,2021-06-21 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508058,available,969,2022-08-31 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508059,available,19,2026-08-07 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508060,available,260,2025-08-08 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508066,available,923,2022-11-15 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508068,available,969,2022-08-31 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508069,available,448,2024-11-01 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508077,available,898,2022-12-09 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508078,available,389,2025-01-24 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508080,available,291,2025-06-26 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508082,available,235,2025-09-12 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508084,available,371,2025-02-27 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508085,available,316,2025-05-21 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508086,available,531,2024-06-28 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508087,available,378,2025-02-17 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508088,available,944,2022-10-14 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508089,available,529,2024-07-02 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508090,available,268,2025-07-29 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508091,available,224,2025-09-29 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508092,available,372,2025-02-26 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508093,available,71,2026-05-26 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508096,available,832,2023-03-29 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508097,available,426,2024-12-03 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508098,available,867,2023-02-08 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508099,available,1141,2021-12-17 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508600,available,54,2026-06-18 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508601,available,54,2026-06-18 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508602,available,54,2026-06-18 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508603,available,54,2026-06-18 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508605,no_history,0,,,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508606,no_history,0,,,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508607,no_history,0,,,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508609,no_history,0,,,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
