symbol,status,rows,first_date,last_date,attempts,error,retrieved_at,universe_snapshot_date,start_date,end_date
508010,available,420,2024-12-11,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508011,available,602,2024-03-12,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508012,available,406,2024-12-31,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508015,available,514,2024-07-23,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508016,available,265,2025-08-01,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508017,available,603,2024-03-12,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508018,available,1056,2022-04-28,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508019,available,772,2023-06-30,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508020,available,92,2026-04-22,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508021,available,945,2022-10-13,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508022,available,474,2024-09-19,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508026,available,591,2024-03-28,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508027,available,1264,2021-06-21,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508028,available,833,2023-03-29,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508029,available,202,2025-11-06,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508030,available,27,2026-07-28,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508031,available,639,2024-01-12,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508033,available,590,2024-03-29,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508036,available,409,2024-12-26,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508039,available,270,2025-07-25,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508047,no_history,0,,,1,AKShare Sina returned no history for 508047,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508048,available,410,2024-12-25,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508050,available,142,2026-02-02,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508055,available,349,2025-03-31,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508056,available,1263,2021-06-21,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508058,available,969,2022-08-31,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508059,available,19,2026-08-07,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508060,available,260,2025-08-08,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508066,available,923,2022-11-15,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508068,available,969,2022-08-31,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508069,available,448,2024-11-01,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508077,available,898,2022-12-09,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508078,available,389,2025-01-24,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508080,available,291,2025-06-26,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508082,available,235,2025-09-12,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508084,available,371,2025-02-27,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508085,available,316,2025-05-21,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508086,available,531,2024-06-28,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508087,available,378,2025-02-17,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508088,available,944,2022-10-14,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508089,available,529,2024-07-02,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508090,available,268,2025-07-29,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508091,available,224,2025-09-29,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
