symbol,publication_date,ex_date,dpu_per_unit,disclosed_rmb_per_10_units,source_url,verification_status,raw_text
508056,2023-03-31,2023-04-06,0.08801,0.8801,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-31/508056_20230331_RFK6.pdf,machine_extracted_official_pdf,本次分红方案 0.8801 元/10份；场内除息日 2023-04-06
508056,2023-08-31,2023-09-05,0.08423,0.8423,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-08-31/508056_20230831_JRL5.pdf,machine_extracted_official_pdf,本次分红方案 0.8423 元/10份；场内除息日 2023-09-05
508056,2023-12-16,2023-12-21,0.042499999999999996,0.425,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-12-16/508056_20231216_CYQ6.pdf,machine_extracted_official_pdf,本次分红方案 0.425 元/10份；场内除息日 2023-12-21
508056,2024-03-29,2024-04-03,0.05405,0.5405,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-03-29/508056_20240329_O7ZA.pdf,machine_extracted_official_pdf,本次分红方案 0.5405 元/10份；场内除息日 2024-04-03
508056,2024-07-30,2024-08-02,0.045829999999999996,0.4583,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-07-30/508056_20240730_U2YM.pdf,machine_extracted_official_pdf,本次分红方案 0.4583 元/10份；场内除息日 2024-08-02
508056,2024-10-25,2024-10-30,0.04413,0.4413,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-10-25/508056_20241025_0X9Z.pdf,machine_extracted_official_pdf,本次分红方案 0.4413 元/10份；场内除息日 2024-10-30
508056,2024-12-27,2025-01-02,0.04547,0.4547,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-12-27/508056_20241227_W6VY.pdf,machine_extracted_official_pdf,本次分红方案 0.4547 元/10份；场内除息日 2025-01-02
508056,2025-03-28,2025-04-02,0.0495,0.495,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-03-28/508056_20250328_VHCG.pdf,machine_extracted_official_pdf,本次分红方案 0.495 元/10份；场内除息日 2025-04-02
508056,2025-07-18,2025-07-23,0.04059,0.4059,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-07-18/508056_20250718_L4HD.pdf,machine_extracted_official_pdf,本次分红方案 0.4059 元/10份；场内除息日 2025-07-23
508056,2025-10-28,2025-10-31,0.04318,0.4318,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-10-28/508056_20251028_S8A9.pdf,machine_extracted_official_pdf,本次分红方案 0.4318 元/10份；场内除息日 2025-10-31
508056,2025-12-25,2025-12-30,0.04335,0.4335,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-12-25/508056_20251225_7W42.pdf,machine_extracted_official_pdf,本次分红方案 0.4335 元/10份；场内除息日 2025-12-30
508056,2026-04-01,2026-04-07,0.0458,0.458,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-01/508056_20260401_FZUJ.pdf,machine_extracted_official_pdf,本次分红方案 0.458 元/10份；场内除息日 2026-04-07
508056,2026-06-30,2026-07-03,0.03376,0.3376,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-06-30/508056_20260630_ODX8.pdf,machine_extracted_official_pdf,本次分红方案 0.3376 元/10份；场内除息日 2026-07-03
508096,2023-11-08,2023-11-13,1.072,10.72,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-11-08/508096_20231108_HIFS.pdf,machine_extracted_official_pdf,本次分红方案 10.72 元/10份；场内除息日 2023-11-13
508096,2024-04-22,2024-04-25,0.5498000000000001,5.498,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-04-22/508096_20240422_BO0L.pdf,machine_extracted_official_pdf,本次分红方案 5.498 元/10份；场内除息日 2024-04-25
508096,2024-10-30,2024-11-04,0.622,6.22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-10-30/508096_20241030_93GZ.pdf,machine_extracted_official_pdf,本次分红方案 6.22 元/10份；场内除息日 2024-11-04
508096,2025-08-12,2025-08-15,0.23715999999999998,2.3716,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-08-12/508096_20250812_R0TX.pdf,machine_extracted_official_pdf,本次分红方案 2.3716 元/10份；场内除息日 2025-08-15
508096,2026-01-15,2026-01-20,0.33178,3.3178,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-01-15/508096_20260115_35W8.pdf,machine_extracted_official_pdf,本次分红方案 3.3178 元/10份；场内除息日 2026-01-20
508096,2026-05-13,2026-05-18,0.34961000000000003,3.4961,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-05-13/508096_20260513_2FB2.pdf,machine_extracted_official_pdf,本次分红方案 3.4961 元/10份；场内除息日 2026-05-18
508096,2026-08-06,2026-08-11,0.209,2.09,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-06/508096_20260806_FZ2N.pdf,machine_extracted_official_pdf,本次分红方案 2.09 元/10份；场内除息日 2026-08-11
