rebalance_frequency,signal_date,entry_date,factor,symbol,factor_value,selected_count,eligible_universe_count,capacity_at_5pct_adv_rmb
monthly,2024-05-31,2024-06-03,market_composite,508027,0.6666666666666667,6,30,3907237.5300000003
monthly,2024-05-31,2024-06-03,market_composite,508008,0.6666666666666666,6,30,3907237.5300000003
monthly,2024-06-28,2024-07-01,momentum_20d,508058,0.07598784194528885,6,30,852137.8049999999
monthly,2024-06-28,2024-07-01,momentum_20d,180501,0.07563636363636372,6,30,852137.8049999999
monthly,2024-06-28,2024-07-01,momentum_20d,508031,0.06168104825822951,6,30,852137.8049999999
monthly,2024-06-28,2024-07-01,momentum_20d,508096,0.0333564373592099,6,30,852137.8049999999
monthly,2024-06-28,2024-07-01,momentum_20d,508077,0.032909498878085364,6,30,852137.8049999999
monthly,2024-06-28,2024-07-01,momentum_20d,508068,0.031936127744510934,6,30,852137.8049999999
monthly,2024-06-28,2024-07-01,momentum_60d,508058,0.1407089151450054,6,30,852137.8049999999
monthly,2024-06-28,2024-07-01,momentum_60d,180501,0.13507290867229482,6,30,852137.8049999999
monthly,2024-06-28,2024-07-01,momentum_60d,508031,0.1069643452182607,6,30,852137.8049999999
monthly,2024-06-28,2024-07-01,momentum_60d,180103,0.09136630343671426,6,30,852137.8049999999
monthly,2024-06-28,2024-07-01,momentum_60d,508028,0.0825740318906607,6,30,852137.8049999999
monthly,2024-06-28,2024-07-01,momentum_60d,508096,0.07917119073470857,6,30,852137.8049999999
monthly,2024-06-28,2024-07-01,short_term_reversal_5d,508019,0.02047502047502059,6,30,1530936.8850000002
monthly,2024-06-28,2024-07-01,short_term_reversal_5d,508021,0.018185618729096964,6,30,1530936.8850000002
monthly,2024-06-28,2024-07-01,short_term_reversal_5d,508099,0.016974726518294903,6,30,1530936.8850000002
monthly,2024-06-28,2024-07-01,short_term_reversal_5d,508001,0.013559652716808035,6,30,1530936.8850000002
monthly,2024-06-28,2024-07-01,short_term_reversal_5d,508007,0.013357843137254855,6,30,1530936.8850000002
monthly,2024-06-28,2024-07-01,short_term_reversal_5d,180101,0.011423131841980072,6,30,1530936.8850000002
monthly,2024-06-28,2024-07-01,liquidity_20d,508008,16.853406939401328,6,30,4847637.33
monthly,2024-06-28,2024-07-01,liquidity_20d,508018,16.835083310414117,6,30,4847637.33
monthly,2024-06-28,2024-07-01,liquidity_20d,508028,16.644800961458944,6,30,4847637.33
monthly,2024-06-28,2024-07-01,liquidity_20d,508009,16.64423376584173,6,30,4847637.33
monthly,2024-06-28,2024-07-01,liquidity_20d,508001,16.637352084362913,6,30,4847637.33
monthly,2024-06-28,2024-07-01,liquidity_20d,508096,16.597974800090636,6,30,4847637.33
monthly,2024-06-28,2024-07-01,low_illiquidity_20d,508008,-0.014012099636337958,6,30,3647303.523
monthly,2024-06-28,2024-07-01,low_illiquidity_20d,508018,-0.015885099233732797,6,30,3647303.523
monthly,2024-06-28,2024-07-01,low_illiquidity_20d,508028,-0.01665569000745055,6,30,3647303.523
monthly,2024-06-28,2024-07-01,low_illiquidity_20d,180401,-0.019482856150536278,6,30,3647303.523
monthly,2024-06-28,2024-07-01,low_illiquidity_20d,508009,-0.01978457239272276,6,30,3647303.523
monthly,2024-06-28,2024-07-01,low_illiquidity_20d,180201,-0.020658186111053453,6,30,3647303.523
monthly,2024-06-28,2024-07-01,low_volatility_20d,508007,-0.03818890118141971,6,30,1530936.8850000002
monthly,2024-06-28,2024-07-01,low_volatility_20d,180801,-0.04052032167811775,6,30,1530936.8850000002
monthly,2024-06-28,2024-07-01,low_volatility_20d,508088,-0.04828416235847735,6,30,1530936.8850000002
monthly,2024-06-28,2024-07-01,low_volatility_20d,508056,-0.04951038942723996,6,30,1530936.8850000002
monthly,2024-06-28,2024-07-01,low_volatility_20d,508066,-0.050221637697488705,6,30,1530936.8850000002
monthly,2024-06-28,2024-07-01,low_volatility_20d,508028,-0.05227948103058713,6,30,1530936.8850000002
monthly,2024-06-28,2024-07-01,market_composite,508028,0.7041666666666667,6,30,1530936.8850000002
monthly,2024-06-28,2024-07-01,market_composite,508088,0.6958333333333333,6,30,1530936.8850000002
monthly,2024-06-28,2024-07-01,market_composite,508001,0.6541666666666667,6,30,1530936.8850000002
monthly,2024-06-28,2024-07-01,market_composite,508007,0.6208333333333333,6,30,1530936.8850000002
monthly,2024-06-28,2024-07-01,market_composite,508021,0.6208333333333332,6,30,1530936.8850000002
monthly,2024-06-28,2024-07-01,market_composite,508008,0.6083333333333334,6,30,1530936.8850000002
monthly,2024-07-31,2024-08-01,momentum_20d,508058,0.07583665950260965,7,35,1334277.805
monthly,2024-07-31,2024-08-01,momentum_20d,180101,0.049734427812650805,7,35,1334277.805
monthly,2024-07-31,2024-08-01,momentum_20d,508027,0.04800872885979279,7,35,1334277.805
monthly,2024-07-31,2024-08-01,momentum_20d,508011,0.043781480046493515,7,35,1334277.805
monthly,2024-07-31,2024-08-01,momentum_20d,508068,0.04324663115010985,7,35,1334277.805
monthly,2024-07-31,2024-08-01,momentum_20d,180501,0.036351619299405336,7,35,1334277.805
monthly,2024-07-31,2024-08-01,momentum_20d,508077,0.031004989308624387,7,35,1334277.805
monthly,2024-07-31,2024-08-01,momentum_60d,508058,0.1730833612320053,7,35,1232226.1350000002
monthly,2024-07-31,2024-08-01,momentum_60d,180501,0.14494341000365107,7,35,1232226.1350000002
monthly,2024-07-31,2024-08-01,momentum_60d,508031,0.12072892938496582,7,35,1232226.1350000002
monthly,2024-07-31,2024-08-01,momentum_60d,508068,0.08862001308044487,7,35,1232226.1350000002
monthly,2024-07-31,2024-08-01,momentum_60d,508026,0.07104851330203443,7,35,1232226.1350000002
monthly,2024-07-31,2024-08-01,momentum_60d,508077,0.06360294117647047,7,35,1232226.1350000002
monthly,2024-07-31,2024-08-01,momentum_60d,508027,0.0607399226946439,7,35,1232226.1350000002
monthly,2024-07-31,2024-08-01,short_term_reversal_5d,508007,0.012609583283295311,7,35,1878483.8974999997
monthly,2024-07-31,2024-08-01,short_term_reversal_5d,508009,0.003962242162917962,7,35,1878483.8974999997
