symbol,listing_date,publication_date,exchange,source_url,evidence_method,verification_status,raw_text
508006,2021-06-21,2021-06-21,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2021-06-21/508006_20210621_1_sQvam6Tl.pdf,official_listing_notice_title,official_metadata_verified,富国首创水务封闭式基础设施证券投资基金上市交易提示性公告
508007,2023-10-27,2023-10-27,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-10-27/508007_20231027_KLEV.pdf,official_listing_notice_title,official_metadata_verified,中金山高集团高速公路封闭式基础设施证券投资基金上市交易提示性公告
508008,2022-07-08,2022-07-05,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-07-05/508008_20220705_1_kaAXBwI7.pdf,official_listing_document_page_4,visual_verified_official_pdf,扫描PDF第4页：上市交易日期为2022年7月8日
508009,2022-11-22,2022-11-22,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-11-22/508009_20221122_Q10Z.pdf,official_listing_notice_title,official_metadata_verified,中金安徽交控高速公路封闭式基础设施证券投资基金上市交易提示性公告
508010,2024-12-11,2024-12-11,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-12-11/508010_20241211_27X5.pdf,official_listing_notice_title,official_metadata_verified,中金重庆两江产业园封闭式基础设施证券投资基金上市交易提示性公告
508011,2024-03-12,2024-03-12,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-03-12/508011_20240312_92OI.pdf,official_listing_notice_title,official_metadata_verified,嘉实物美消费封闭式基础设施证券投资基金上市交易提示性公告
508012,2024-12-31,2024-12-31,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-12-31/508012_20241231_3W1I.pdf,official_listing_notice_title,official_metadata_verified,招商科创孵化器封闭式基础设施证券投资基金上市交易提示性公告
508015,2024-07-23,2024-07-23,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-07-23/508015_20240723_DCBO.pdf,official_listing_notice_title,official_metadata_verified,中信建投明阳智能新能源封闭式基础设施证券投资基金上市交易提示性公告
508016,2025-08-01,2025-08-01,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-08-01/508016_20250801_87UP.pdf,official_listing_notice_title,official_metadata_verified,华夏华电清洁能源封闭式基础设施证券投资基金上市交易提示性公告
508017,2024-03-12,2024-03-12,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-03-12/508017_20240312_KTDH.pdf,official_listing_notice_title,official_metadata_verified,华夏金茂购物中心封闭式基础设施证券投资基金上市交易提示性公告
508018,2022-04-28,2022-04-28,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-04-28/508018_20220428_1_lD5zZ07V.pdf,official_listing_notice_title,official_metadata_verified,华夏中国交建高速公路封闭式基础设施证券投资基金上市交易提示性公告
508019,2023-06-30,2023-06-30,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-06-30/508019_20230630_4BP4.pdf,official_listing_notice_title,official_metadata_verified,中金湖北科投光谷产业园封闭式基础设施证券投资基金上市交易提示性公告
508020,2026-04-22,2026-04-22,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-22/508020_20260422_O9B3.pdf,official_listing_notice_title,official_metadata_verified,东方红隧道股份高速公路封闭式基础设施证券投资基金上市交易提示性公告
508021,2022-10-13,2022-10-13,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-10-13/508021_20221013_1_r2Krr0xA.pdf,official_listing_notice_title,official_metadata_verified,国泰君安临港创新智造产业园封闭式基础设施证券投资基金上市交易提示性公告
508022,2024-09-19,2024-09-19,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-09-19/508022_20240919_FG1F.pdf,official_listing_notice_title,official_metadata_verified,博时津开科工产业园封闭式基础设施证券投资基金上市交易提示性公告
508026,2024-03-28,2024-03-28,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-03-28/508026_20240328_TQ56.pdf,official_listing_notice_title,official_metadata_verified,嘉实中国电建清洁能源封闭式基础设施证券投资基金上市交易提示性公告
508027,2021-06-21,2021-06-21,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2021-06-21/508027_20210621_1_gmgBeN1i.pdf,official_listing_notice_title,official_metadata_verified,东吴苏州工业园区产业园封闭式基础设施证券投资基金上市交易提示性公告
508028,2023-03-29,2023-03-29,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-29/508028_20230329_5RUS.pdf,official_listing_notice_title,official_metadata_verified,中信建投国家电投新能源封闭式基础设施证券投资基金上市交易提示性公告
508029,2025-11-06,2025-11-06,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-11-06/508029_20251106_MYPQ.pdf,official_listing_notice_title,official_metadata_verified,中信建投沈阳国际软件园封闭式基础设施证券投资基金上市交易提示性公告
508030,2026-07-28,2026-07-28,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-28/508030_20260728_JS8C.pdf,official_listing_notice_title,official_metadata_verified,中航中核汇能新能源封闭式基础设施证券投资基金上市交易提示性公告
508031,2024-01-12,2024-01-12,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-01-12/508031_20240112_FJ4M.pdf,official_listing_notice_title,official_metadata_verified,国泰君安城投宽庭保障性租赁住房封闭式基础设施证券投资基金上市交易提示性公告
508033,2024-03-29,2024-03-29,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-03-29/508033_20240329_R0NW.pdf,official_listing_notice_title,official_metadata_verified,易方达深高速高速公路封闭式基础设施证券投资基金上市交易提示性公告
