symbol,quarterly_report_count,semiannual_report_count,annual_report_count,distribution_announcement_count,first_announcement_date,latest_announcement_date,asset_type,classification_status,asset_type_source_url,listing_date,listing_source_url,listing_status,has_periodic_report,has_distribution_announcement
508039,5,1,1,2,2025-06-24,2026-08-28,industrial_park,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-28/508039_20260828_49GQ.pdf,2025-07-25,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-07-25/508039_20250725_6WS4.pdf,listed,True,True
508047,0,0,0,0,2026-08-27,2026-08-27,heating,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-27/508047_20260827_1W9R.pdf,,,pre_listing_observed,False,False
508048,6,1,1,2,2024-11-26,2026-07-28,logistics,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508048_20260721_1SPC.pdf,2024-12-25,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-12-25/508048_20241225_NCNK.pdf,listed,True,True
508050,2,0,0,0,2025-12-12,2026-07-21,renewable,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508050_20260721_D13H.pdf,2026-02-02,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-02-02/508050_20260202_98HK.pdf,listed,True,False
508055,5,1,1,3,2025-03-08,2026-08-04,rental_housing,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-17/508055_20260717_NDL7.pdf,2025-03-31,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-03-31/508055_20250331_15E4.pdf,listed,True,True
508056,20,5,5,16,2021-05-19,2026-08-28,logistics,human_verified,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-03-28/508056_20250328_6KQ4.pdf,2021-06-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2021-06-21/508056_20210621_1_Pvz1qgD6.pdf,listed,True,True
508058,15,4,4,8,2022-08-02,2026-08-28,rental_housing,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-28/508058_20260828_PKB5.pdf,2022-08-31,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-08-31/508058_20220831_2_HzBfWn0M.pdf,listed,True,True
508059,0,0,0,0,2026-06-12,2026-08-19,renewable,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-19/508059_20260819_858N.pdf,2026-08-07,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-07/508059_20260807_CAB5.pdf,listed,False,False
508060,4,0,1,2,2025-06-26,2026-08-10,data_center,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508060_20260721_THW6.pdf,2025-08-08,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-08-08/508060_20250808_YO7W.pdf,listed,True,True
508066,14,3,3,10,2022-10-17,2026-08-20,toll_road,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508066_20260721_G7KR.pdf,2022-11-15,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-11-15/508066_20221115_8Z9T.pdf,listed,True,True
508068,15,3,4,7,2022-08-09,2026-07-25,rental_housing,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508068_20260721_FCT4.pdf,2022-08-31,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-08-31/508068_20220831_2_ElgrviDx.pdf,listed,True,True
508069,7,1,2,6,2024-09-23,2026-08-25,toll_road,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508069_20260721_WTSN.pdf,2024-11-01,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-11-01/508069_20241101_WHNB.pdf,listed,True,True
508077,14,3,3,12,2022-11-04,2026-08-21,rental_housing,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508077_20260721_RA5T.pdf,2022-12-09,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-12-09/508077_20221209_VY81.pdf,listed,True,True
508078,6,1,1,3,2024-11-29,2026-08-08,logistics,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508078_20260721_2E36.pdf,2025-01-24,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-01-24/508078_20250124_1YT3.pdf,listed,True,True
508080,4,1,1,2,2025-05-30,2026-08-28,industrial_park,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-28/508080_20260828_1IQ9.pdf,2025-06-26,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-06-26/508080_20250626_XCXQ.pdf,listed,True,True
508082,3,1,1,2,2025-08-08,2026-08-28,retail,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-28/508082_20260828_34H2.pdf,2025-09-12,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-09-12/508082_20250912_B31N.pdf,listed,True,True
508084,5,1,1,2,2025-01-13,2026-07-21,logistics,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508084_20260721_4SLM.pdf,2025-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-02-27/508084_20250227_7LRQ.pdf,listed,True,True
508085,5,1,1,4,2025-04-09,2026-08-20,rental_housing,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508085_20260721_QQW0.pdf,2025-05-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-05-21/508085_20250521_QRPW.pdf,listed,True,True
