symbol,feature_id,period_end,publication_date,metric,aggregation,asset_ids,asset_count,current_value,lag_period_end,lag_value_as_of_publication,operating_yoy_pct,current_observation_ids,lag_observation_ids,current_quality_status,lag_quality_status,lineage_quality_status,prior_yoy_observations,expected_yoy_pct,operating_surprise_pct,asset_type,decision_date,universe_count,signal_rank,signal_rank_pct,selected,entry_date,holding_end,holding_period_return_pct,holding_period_benchmark_pct,forward_horizon_days,forward_horizon_end,forward_return_pct,benchmark_return_pct,forward_excess_return_pct
508018,jiayu_tongcheng_traffic_yoy,2025-06-30,2025-07-21,traffic_volume,sum,jiayu_tongcheng_expressway,1,22795.89,2024-06-30,21600.0,5.536527777777778,508018:jiayu_tongcheng_expressway:20250630:traffic_volume:SSE_508018_20250721_QGWH,508018:jiayu_tongcheng_expressway:20240630:traffic_volume:SSE_508018_20240718_B4R7,verified,verified,verified,4,3.729930856674088,1.8065969211036896,toll_road,2025-07-21,7,5.0,0.42857142857142855,False,2025-07-22,2025-10-29,-3.626863377900724,-3.8392979569450203,20,2025-08-19,-2.7047794682649395,-3.649161296220127,0.9443818279551874
180401,gas_settlement_yoy,2025-06-30,2025-07-18,settled_electricity,sum,dongbu_power_phase1,1,85166.4,2024-06-30,99026.4,-13.996267661956807,180401:dongbu_power_phase1:20250630:settled_electricity:SZSE_1224203482,180401:dongbu_power_phase1:20240630:settled_electricity:SZSE_1220664855,unverified,unverified,contains_unverified_source_registry,7,-6.324003592060644,-7.672264069896163,gas_power,2025-07-21,7,6.0,0.2857142857142857,False,2025-07-22,2025-10-29,-0.6551012980710924,-3.8392979569450203,20,2025-08-19,0.4367341987140616,-3.649161296220127,4.085895494934189
508096,solar_settlement_yoy,2025-06-30,2025-07-21,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,11100.0,2024-06-30,17100.0,-35.08771929824561,508096:hubei_jingtai_pv:20250630:settled_electricity:SSE_508096_20250721_YPD3|508096:yulin_pv:20250630:settled_electricity:SSE_508096_20250721_YPD3,508096:hubei_jingtai_pv:20240630:settled_electricity:SSE_508096_20240718_M0BE|508096:yulin_pv:20240630:settled_electricity:SSE_508096_20240718_M0BE,unverified,unverified,contains_unverified_source_registry,4,-11.302481862237634,-23.785237436007975,mixed_energy,2025-07-21,7,7.0,0.14285714285714285,False,2025-07-22,2025-10-29,-3.4620601042187227,-3.8392979569450203,20,2025-08-19,-0.9351131415518577,-3.649161296220127,2.7140481546682693
180301,yantian_occupancy_yoy,2025-09-30,2025-10-28,occupancy,sum,modern_logistics_center,1,92.93,2024-09-30,88.26,5.291185134828913,180301:modern_logistics_center:20250930:occupancy:SZSE_1224738313,180301:modern_logistics_center:20240930:occupancy:SZSE_1221505102,verified,verified,verified,6,-3.196993326786609,8.488178461615522,logistics,2025-10-28,8,1.0,1.0,True,2025-10-29,2026-01-23,6.476683937823835,-0.4220732924568704,20,2025-11-26,2.4426350851221246,-0.790912115594844,3.2335472007169686
508056,glp_post_expansion_occupancy_yoy,2025-09-30,2025-10-28,occupancy,sum,post_expansion_portfolio,1,88.83,2024-09-30,84.94,4.57970331999058,508056:post_expansion_portfolio:20250930:occupancy:SSE_508056_20251028_WX10,508056:post_expansion_portfolio:20240930:occupancy:SSE_508056_20241025_Y07L,verified,verified,verified,5,0.6940489045856847,3.8856544154048955,logistics,2025-10-28,8,2.0,0.875,True,2025-10-29,2026-01-23,-1.3655965500718792,-0.4220732924568704,20,2025-11-26,-3.6895064686152557,-0.790912115594844,-2.8985943530204117
180401,gas_settlement_yoy,2025-09-30,2025-10-27,settled_electricity,sum,dongbu_power_phase1,1,114637.05,2024-09-30,122828.75,-6.669204074778912,180401:dongbu_power_phase1:20250930:settled_electricity:SZSE_1224738150,180401:dongbu_power_phase1:20240930:settled_electricity:SZSE_1221490500,unverified,unverified,contains_unverified_source_registry,8,-7.283036600797665,0.6138325260187534,gas_power,2025-10-28,8,3.0,0.75,False,2025-10-29,2026-01-23,-5.37306142386128,-0.4220732924568704,20,2025-11-26,-2.85749175723532,-0.790912115594844,-2.066579641640476
180201,guanghe_traffic_yoy,2025-09-30,2025-10-28,traffic_volume,sum,guanghe_expressway,1,148000.0,2024-09-30,151800.0,-2.503293807641638,180201:guanghe_expressway:20250930:traffic_volume:SZSE_1224744609,180201:guanghe_expressway:20240930:traffic_volume:SZSE_1221508383,verified,verified,verified,6,-2.1251628690283333,-0.3781309386133045,toll_road,2025-10-28,8,4.0,0.625,False,2025-10-29,2026-01-23,-3.8115667024172906,-0.4220732924568704,20,2025-11-26,0.24750433132578742,-0.790912115594844,1.0384164469206314
508096,solar_settlement_yoy,2025-09-30,2025-10-27,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,11000.0,2024-09-30,13200.0,-16.666666666666664,508096:hubei_jingtai_pv:20250930:settled_electricity:SSE_508096_20251027_34QT|508096:yulin_pv:20250930:settled_electricity:SSE_508096_20251027_34QT,508096:hubei_jingtai_pv:20240930:settled_electricity:SSE_508096_20241024_4OB1|508096:yulin_pv:20240930:settled_electricity:SSE_508096_20241024_4OB1,unverified,unverified,contains_unverified_source_registry,5,-16.05952934943923,-0.6071373172274335,mixed_energy,2025-10-28,8,5.0,0.5,False,2025-10-29,2026-01-23,-6.994971901804203,-0.4220732924568704,20,2025-11-26,-1.5084294587400127,-0.790912115594844,-0.7175173431451687
508018,jiayu_tongcheng_traffic_yoy,2025-09-30,2025-10-28,traffic_volume,sum,jiayu_tongcheng_expressway,1,26467.48,2024-09-30,28100.0,-5.8096797153024955,508018:jiayu_tongcheng_expressway:20250930:traffic_volume:SSE_508018_20251028_TOR5,508018:jiayu_tongcheng_expressway:20240930:traffic_volume:SSE_508018_20241025_3E0F,verified,verified,verified,5,4.0912502408948255,-9.90092995619732,toll_road,2025-10-28,8,6.0,0.375,False,2025-10-29,2026-01-23,5.788550470419396,-0.4220732924568704,20,2025-11-26,3.906872907032377,-0.790912115594844,4.697785022627221
508026,hydro_generation_yoy,2025-09-30,2025-10-28,power_generation,sum,wuyiqiao_1_5,1,22043.064,2024-09-30,23640.0112,-6.755272603254947,508026:wuyiqiao_1_5:20250930:power_generation:508026_2025Q3,508026:wuyiqiao_1_5:20240930:power_generation:508026_2024Q3,verified,verified,verified,1,14.307212941519222,-21.06248554477417,hydropower,2025-10-28,8,7.0,0.25,False,2025-10-29,2026-01-23,-3.8011049723757018,-0.4220732924568704,20,2025-11-26,1.4585635359116056,-0.790912115594844,2.2494756515064496
508028,wind_generation_yoy,2025-09-30,2025-10-28,power_generation,sum,binhai_h1_h2,1,21963.23,2024-09-30,29151.13,-24.657363196555337,508028:binhai_h1_h2:20250930:power_generation:SSE_508028_20251028_036Z,508028:binhai_h1_h2:20240930:power_generation:SSE_508028_20241025_2Z9V,unverified,unverified,contains_unverified_source_registry,5,3.037031962992522,-27.69439515954786,wind,2025-10-28,8,8.0,0.125,False,2025-10-29,2026-01-23,-1.7057403224550294,-0.4220732924568704,20,2025-11-26,-0.5685801074850061,-0.790912115594844,0.2223320081098379
508028,wind_generation_yoy,2025-12-31,2026-01-22,power_generation,sum,binhai_h1_h2,1,35849.05,2024-12-31,31073.04,15.370269532688141,508028:binhai_h1_h2:20251231:power_generation:SSE_508028_20260122_8WBS,508028:binhai_h1_h2:20241231:power_generation:SSE_508028_20250122_36A6,unverified,unverified,contains_unverified_source_registry,6,-1.5787005635987879,16.948970096286928,wind,2026-01-22,8,1.0,1.0,True,2026-01-23,2026-04-23,-0.6893819334389817,-2.0534410172695194,20,2026-03-02,-0.8003169572107671,-1.5541617741119396,0.7538448169011724
508096,solar_settlement_yoy,2025-12-31,2026-01-22,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,8500.0,2024-12-31,9000.0,-5.555555555555558,508096:hubei_jingtai_pv:20251231:settled_electricity:SSE_508096_20260122_2ECJ|508096:yulin_pv:20251231:settled_electricity:SSE_508096_20260122_2ECJ,508096:hubei_jingtai_pv:20241231:settled_electricity:SSE_508096_20250121_E6TE|508096:yulin_pv:20241231:settled_electricity:SSE_508096_20250121_E6TE,unverified,unverified,contains_unverified_source_registry,6,-16.160718902310467,10.60516334675491,mixed_energy,2026-01-22,8,2.0,0.875,True,2026-01-23,2026-04-23,1.0574018126888296,-2.0534410172695194,20,2026-03-02,1.3992685641596392,-1.5541617741119396,2.9534303382715787
