symbol,asset_type,classification_status,classification_method,evidence_phrase,publication_date,source_url,raw_title
508003,industrial_park,official_title_evidence,official_announcement_title_keyword,产业园,2026-08-28,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-28/508003_20260828_EDDH.pdf,中金联东科技创新产业园封闭式基础设施证券投资基金2026年中期报告
508005,retail,official_title_evidence,official_announcement_title_keyword,奥特莱斯,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508005_20260721_VAGA.pdf,华夏首创奥特莱斯封闭式基础设施证券投资基金2026年第2季度报告
508006,water,official_title_evidence,official_announcement_title_keyword,水务,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508006_20260721_1ULD.pdf,富国首创水务封闭式基础设施证券投资基金二0二六年第2季度报告
508007,toll_road,official_title_evidence,official_announcement_title_keyword,高速公路,2026-08-28,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-28/508007_20260828_OPCI.pdf,中金山高集团高速公路封闭式基础设施证券投资基金2026年中期报告
508008,toll_road,official_title_evidence,official_announcement_title_keyword,高速公路,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508008_20260721_0FU4.pdf,国金铁建重庆渝遂高速公路封闭式基础设施证券投资基金2026年第2季度报告
508009,toll_road,official_title_evidence,official_announcement_title_keyword,高速公路,2026-08-28,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-28/508009_20260828_24B0.pdf,中金安徽交控高速公路封闭式基础设施证券投资基金2026年中期报告
508010,industrial_park,official_title_evidence,official_announcement_title_keyword,产业园,2026-08-28,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-28/508010_20260828_A19U.pdf,中金重庆两江产业园封闭式基础设施证券投资基金2026年中期报告
508011,retail,official_title_evidence,official_announcement_title_keyword,消费,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508011_20260721_IKC5.pdf,嘉实物美消费封闭式基础设施证券投资基金2026年第2季度报告
508012,industrial_park,official_title_evidence,official_announcement_title_keyword,科创孵化器,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508012_20260721_OH0W.pdf,招商科创孵化器封闭式基础设施证券投资基金2026年第2季度报告
508015,renewable,official_title_evidence,official_announcement_title_keyword,新能源,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508015_20260721_ICJD.pdf,中信建投明阳智能新能源封闭式基础设施证券投资基金2026年第2季度报告
508016,renewable,official_title_evidence,official_announcement_title_keyword,清洁能源,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508016_20260721_0CI6.pdf,华夏华电清洁能源封闭式基础设施证券投资基金2026年第2季度报告
508017,retail,official_title_evidence,official_announcement_title_keyword,消费,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508017_20260721_GLNA.pdf,华夏金茂消费封闭式基础设施证券投资基金2026年第2季度报告
