symbol,asset_id,period_end,metric,value,unit,raw_value,raw_unit,publication_date,source_url,source_note
508096,hubei_jingtai_pv,2024-12-31,utilization_hours,236,hours,236.00,小时,2025-01-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-01-21/508096_20250121_E6TE.pdf,项目级当期披露；等效利用小时
508096,hubei_jingtai_pv,2024-12-31,settled_electricity,2400,10k_kWh,0.24,亿千瓦时,2025-01-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-01-21/508096_20250121_E6TE.pdf,项目级当期披露；报告值仅两位小数
508096,hubei_jingtai_pv,2024-12-31,settlement_tariff,0.8671,RMB_per_kWh,0.8671,元/千瓦时（含税）,2025-01-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-01-21/508096_20250121_E6TE.pdf,项目级当期披露；最终实际结算均价
508096,hubei_jingtai_pv,2024-12-31,settlement_revenue,21000000,RMB,0.21,亿元（含税）,2025-01-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-01-21/508096_20250121_E6TE.pdf,项目级当期披露；报告值仅两位小数
508096,yulin_pv,2025-03-31,availability_rate,98.45,percent,98.45,%,2025-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-04-22/508096_20250422_WDVS.pdf,项目级当期披露；设备利用率口径
508096,yulin_pv,2025-03-31,power_generation,8100.000000000001,10k_kWh,0.81,亿千瓦时,2025-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-04-22/508096_20250422_WDVS.pdf,项目级当期披露；报告值仅两位小数
508096,yulin_pv,2025-03-31,utilization_hours,244.52,hours,244.52,小时,2025-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-04-22/508096_20250422_WDVS.pdf,项目级当期披露；等效利用小时
508096,yulin_pv,2025-03-31,settled_electricity,7800,10k_kWh,0.78,亿千瓦时,2025-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-04-22/508096_20250422_WDVS.pdf,项目级当期披露；报告值仅两位小数
508096,yulin_pv,2025-03-31,settlement_tariff,0.8482,RMB_per_kWh,0.8482,元/千瓦时（含税）,2025-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-04-22/508096_20250422_WDVS.pdf,项目级当期披露；最终实际结算均价
508096,yulin_pv,2025-03-31,settlement_revenue,67000000.00000001,RMB,0.67,亿元（含税）,2025-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-04-22/508096_20250422_WDVS.pdf,项目级当期披露；报告值仅两位小数
508096,hubei_jingtai_pv,2025-03-31,availability_rate,99.99,percent,99.99,%,2025-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-04-22/508096_20250422_WDVS.pdf,项目级当期披露；设备利用率口径
508096,hubei_jingtai_pv,2025-03-31,power_generation,2500,10k_kWh,0.25,亿千瓦时,2025-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-04-22/508096_20250422_WDVS.pdf,项目级当期披露；报告值仅两位小数
508096,hubei_jingtai_pv,2025-03-31,utilization_hours,245.16,hours,245.16,小时,2025-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-04-22/508096_20250422_WDVS.pdf,项目级当期披露；等效利用小时
508096,hubei_jingtai_pv,2025-03-31,settled_electricity,2500,10k_kWh,0.25,亿千瓦时,2025-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-04-22/508096_20250422_WDVS.pdf,项目级当期披露；报告值仅两位小数
