symbol,period_end,publication_date,metric,value,unit,source_url,document_type,verification_status,raw_text
180201,2024-12-31,2025-01-22,fund_shares,700000000.0,shares,https://disc.static.szse.cn/disc/disk03/finalpage/2025-01-21/20d4c982-7bfa-4832-90b7-389cddd154b1.PDF,quarterly_report,machine_extracted_official_pdf,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 96,010,594.72，单位可供分配金额 0.1372"
180201,2024-12-31,2025-03-29,nav_per_unit,10.4979,RMB_per_unit,https://disc.static.szse.cn/disc/disk03/finalpage/2025-03-28/3e1ed818-77b7-478e-b086-afbbca8fe2b1.PDF,annual_report,machine_extracted_official_pdf,报告截止日 2024-12-31，基金份额净值 10.4979 元
180201,2025-03-31,2025-04-22,distributable_amount_per_unit_quarter,0.2158,RMB_per_unit,https://disc.static.szse.cn/disc/disk03/finalpage/2025-04-21/82d28f6c-5509-4872-b707-09c0d9b0b078.PDF,quarterly_report,machine_extracted_official_pdf,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 151,036,363.89，单位可供分配金额 0.2158"
180201,2025-03-31,2025-04-22,distributable_amount_quarter,151036363.89,RMB,https://disc.static.szse.cn/disc/disk03/finalpage/2025-04-21/82d28f6c-5509-4872-b707-09c0d9b0b078.PDF,quarterly_report,machine_extracted_official_pdf,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 151,036,363.89，单位可供分配金额 0.2158"
180201,2025-03-31,2025-04-22,fund_shares,700000000.0,shares,https://disc.static.szse.cn/disc/disk03/finalpage/2025-04-21/82d28f6c-5509-4872-b707-09c0d9b0b078.PDF,quarterly_report,machine_extracted_official_pdf,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 151,036,363.89，单位可供分配金额 0.2158"
180201,2025-06-30,2025-07-21,distributable_amount_per_unit_quarter,0.1486,RMB_per_unit,https://disc.static.szse.cn/disc/disk03/finalpage/2025-07-18/4168d84a-8053-469f-95cf-d43588cdbb8d.PDF,quarterly_report,machine_extracted_official_pdf,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 104,015,845.26，单位可供分配金额 0.1486"
180201,2025-06-30,2025-07-21,distributable_amount_quarter,104015845.26,RMB,https://disc.static.szse.cn/disc/disk03/finalpage/2025-07-18/4168d84a-8053-469f-95cf-d43588cdbb8d.PDF,quarterly_report,machine_extracted_official_pdf,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 104,015,845.26，单位可供分配金额 0.1486"
180201,2025-06-30,2025-07-21,fund_shares,700000000.0,shares,https://disc.static.szse.cn/disc/disk03/finalpage/2025-07-18/4168d84a-8053-469f-95cf-d43588cdbb8d.PDF,quarterly_report,machine_extracted_official_pdf,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 104,015,845.26，单位可供分配金额 0.1486"
180201,2025-09-30,2025-10-28,distributable_amount_per_unit_quarter,0.2272,RMB_per_unit,https://disc.static.szse.cn/disc/disk03/finalpage/2025-10-28/551605d8-7a7f-4799-bebe-b3f0a6c1a744.PDF,quarterly_report,machine_extracted_official_pdf,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 159,010,052.15，单位可供分配金额 0.2272"
180201,2025-09-30,2025-10-28,distributable_amount_quarter,159010052.15,RMB,https://disc.static.szse.cn/disc/disk03/finalpage/2025-10-28/551605d8-7a7f-4799-bebe-b3f0a6c1a744.PDF,quarterly_report,machine_extracted_official_pdf,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 159,010,052.15，单位可供分配金额 0.2272"
180201,2025-09-30,2025-10-28,fund_shares,700000000.0,shares,https://disc.static.szse.cn/disc/disk03/finalpage/2025-10-28/551605d8-7a7f-4799-bebe-b3f0a6c1a744.PDF,quarterly_report,machine_extracted_official_pdf,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 159,010,052.15，单位可供分配金额 0.2272"
180201,2025-12-31,2026-01-22,distributable_amount_per_unit_quarter,0.1426,RMB_per_unit,https://disc.static.szse.cn/disc/disk03/finalpage/2026-01-22/92edb498-85ef-4a58-bf5e-13c6b07b00c0.PDF,quarterly_report,machine_extracted_official_pdf,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 99,812,867.27，单位可供分配金额 0.1426"
180201,2025-12-31,2026-01-22,distributable_amount_quarter,99812867.27,RMB,https://disc.static.szse.cn/disc/disk03/finalpage/2026-01-22/92edb498-85ef-4a58-bf5e-13c6b07b00c0.PDF,quarterly_report,machine_extracted_official_pdf,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 99,812,867.27，单位可供分配金额 0.1426"
180201,2025-12-31,2026-01-22,fund_shares,700000000.0,shares,https://disc.static.szse.cn/disc/disk03/finalpage/2026-01-22/92edb498-85ef-4a58-bf5e-13c6b07b00c0.PDF,quarterly_report,machine_extracted_official_pdf,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 99,812,867.27，单位可供分配金额 0.1426"
180201,2025-12-31,2026-03-28,nav_per_unit,10.0063,RMB_per_unit,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/662cc970-bbcc-475f-8595-8ee75a0165af.PDF,annual_report,machine_extracted_official_pdf,报告截止日 2025-12-31，基金份额净值 10.0063 元
180201,2026-03-31,2026-04-22,distributable_amount_per_unit_quarter,0.2148,RMB_per_unit,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-22/fea51f0b-eace-471b-83f1-471ee5f0291a.PDF,quarterly_report,machine_extracted_official_pdf,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 150,366,555.85，单位可供分配金额 0.2148"
